slug,recommended_action,destination,status,notes
ai-governance-compliance-uk,FLAG,bluecanvas.ai,FLAGGED,Governance/strategy territory.
ai-governance-policy-template,FLAG,bluecanvas.ai,FLAGGED,Template asset; governance territory.
ai-grants-uk-2026,FLAG,bluecanvas.ai,FLAGGED,Funding/strategy content.
ai-risk-management-framework,FLAG,bluecanvas.ai,FLAGGED,Governance/strategy territory.
ai-transformation-strategy-2026,FLAG,bluecanvas.ai,FLAGGED,Transformation strategy is consultancy-brand territory.
ai-workforce-planning-2026,FLAG,bluecanvas.ai,FLAGGED,Strategy territory.
eu-ai-act-compliance-checker,FLAG,bluecanvas.ai,FLAGGED,Regulatory tool; governance territory.
ai-training-for-employees,FLAG,owner-decision,FLAGGED,General AI literacy training; openclaw-training-for-teams is product training - not equivalent.
automate-accounts-bookkeeping-ai,FLAG,owner-decision,FLAGGED,Large content asset (MTD/VAT detail); decide between bluecanvas.ai and merging into ai-agents-for-accountants.
getting-started-ai-automation,FLAG,owner-decision,FLAGGED,Generic beginner funnel; no single equivalent.
enterprise-ai-deployment-uk,FLAG,owner-decision,FLAGGED,openclaw-enterprise-deployment exists but the generic enterprise-AI term may belong to bluecanvas.ai.
workshop-booking-automation,FLAG,owner-decision,FLAGGED,Ambiguous (auto workshops vs training workshops); openclaw-booking-automation or openclaw-for-training-providers could each fit.
ai-readiness-assessment-guide,KEEP,,FLAGGED,T1 survivor (absorbed ai-readiness-assessment-uk). Generic term but functions as the buyer-guide funnel entry; owner may later move the generic term to bluecanvas.ai.
